wave,source_id,source_name,sponsor,field_period,section,measure,weighted_percent,unweighted_n,denominator,comparability_note
2024,AIR0424T,American Instructional Resources Survey for Teachers,RAND,April-June 2024,Adoption,Used AI for instructional planning or teaching,23.5,8814,All nonmissing responses,Question is narrower than the Fall 2025 AI-use item
2024,AIR0424T,American Instructional Resources Survey for Teachers,RAND,April-June 2024,Frequency,AI planning weekly or more often among AI planners,18.0,1882,Valid AI-planning-frequency responses,Conditional denominator
2024,AIR0424T,American Instructional Resources Survey for Teachers,RAND,April-June 2024,Grade band,Used AI - Elementary,16.0,4321,Nonmissing AI-use responses within subgroup,Grade-path definition
2024,AIR0424T,American Instructional Resources Survey for Teachers,RAND,April-June 2024,Grade band,Used AI - Middle,28.7,2108,Nonmissing AI-use responses within subgroup,Grade-path definition
2024,AIR0424T,American Instructional Resources Survey for Teachers,RAND,April-June 2024,Grade band,Used AI - High,35.1,2385,Nonmissing AI-use responses within subgroup,Grade-path definition
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Adoption,Used AI tools in 2025-26,68.9,1985,Valid Yes/No responses,Broader wording than AIRS 2024
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Frequency,Weekly or more often among AI users,56.8,1383,Respondents who used AI this year,Conditional denominator
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Perceived consequence,AI makes teachers' jobs easier,72.5,1984,Valid responses,Teacher judgment rather than measured outcome
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Perceived consequence,AI makes students' learning harder,61.9,1986,Valid responses,Teacher judgment rather than measured outcome
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Policy,Clear-policy coverage,12.5,1987,All valid policy-presence respondents,Presence and very/extremely clear
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Grade band,Used AI - Elementary,63.1,750,Valid within grade band,Not directly comparable with AIRS grade path
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Grade band,Used AI - Middle,72.7,496,Valid within grade band,Not directly comparable with AIRS grade path
2025,GAL1025T,American Teacher Panel Survey on Teacher Careers and AI,"Gallup, Inc. / RAND ATP",Fall 2025,Grade band,Used AI - High,74.4,618,Valid within grade band,Not directly comparable with AIRS grade path
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Policy,Student AI-use policy present,25.5,2029,Valid Yes/No/Don't know responses,Teacher report of policy presence
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Policy,Does not know whether student AI-use policy exists,31.1,2029,Valid Yes/No/Don't know responses,Uncertainty is analytically meaningful
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Policy,Clear student AI-policy coverage,12.8,2029,All valid policy-presence respondents,Presence and very/extremely clear
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Preparing to teach,55.3,1958,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Preparing to teach,9.3,1958,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Making worksheets and assignments,52.8,1966,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Making worksheets and assignments,8.3,1966,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Making assessments,52.4,1963,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Making assessments,9.1,1963,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Modifying materials,50.9,1964,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Modifying materials,7.6,1964,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Grading and feedback,42.5,1931,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Grading and feedback,7.9,1931,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Student-facing supplementation,42.5,1904,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Student-facing supplementation,7.3,1904,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Analyzing learning data,35.7,1920,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Analyzing learning data,5.9,1920,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - One-on-one tutoring,31.5,1894,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - One-on-one tutoring,4.9,1894,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Coaching on teaching,29.1,1916,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Coaching on teaching,6.5,1916,Valid responses excluding not applicable and blank,Task-specific formal guidance
2025,GAL0425T,American Teacher Panel Survey on Teacher Satisfaction and Resources,"Gallup, Inc. / RAND ATP",Spring 2025,Equity,High-quality AI tools - Majority white students,80.8,722,Valid within school ethnic composition (excl. not applicable),Resource-adequacy perception; context dataset
2025,GAL0425T,American Teacher Panel Survey on Teacher Satisfaction and Resources,"Gallup, Inc. / RAND ATP",Spring 2025,Equity,High-quality AI tools - Majority students of color,71.3,764,Valid within school ethnic composition (excl. not applicable),Resource-adequacy perception; context dataset
2024,SPP-Dec2024,School Pulse Panel,NCES,December 2024,Equity,AI taught to students - Lower-poverty schools,49.0,,Weighted school estimates (neighborhood IPR > 200),Aggregate public estimate; context dataset
2024,SPP-Dec2024,School Pulse Panel,NCES,December 2024,Equity,AI taught to students - Higher-poverty schools,39.0,,Weighted school estimates (neighborhood IPR <= 200),Aggregate public estimate; context dataset
